date,YEAR,MONTH,Interbank Rate,91-Day Tbill,182-days Tbill,364-days Tbill,Central Bank Rate
1991-07-01,1991,Jul,,17.14,,,
1991-08-01,1991,Aug,,16.7,,,
1991-09-01,1991,Sep,,17.18,,,
1991-10-01,1991,Oct,,17.78,,,
1991-11-01,1991,Nov,,16.95,,,
1991-12-01,1991,Dec,,17.31,,,
1992-01-01,1992,Jan,,18.2,,,
1992-02-01,1992,Feb,,17.19,,,
1992-03-01,1992,Mar,,17.9,,,
1992-04-01,1992,Apr,,18.05,,,
1992-05-01,1992,May,,18.32,,,
1992-06-01,1992,Jun,,18.76,,,
1992-07-01,1992,Jul,,17.67,,,
1992-08-01,1992,Aug,,17.76,,,
1992-09-01,1992,Sep,,18.43,,,
1992-10-01,1992,Oct,,19.41,,,
1992-11-01,1992,Nov,,18.01,,,
1992-12-01,1992,Dec,,18.14,,,
1993-01-01,1993,Jan,,17.87,,,
1993-02-01,1993,Feb,,17.86,,,
1993-03-01,1993,Mar,,25.07,,,
1993-04-01,1993,Apr,,45.79,,,
1993-05-01,1993,May,,68.04,,,
1993-06-01,1993,Jun,,84.29,,,
1993-07-01,1993,Jul,,84.67,,,
1993-08-01,1993,Aug,,79.51,,,
1993-09-01,1993,Sep,,75.69,,,
1993-10-01,1993,Oct,,70.88,,,
1993-11-01,1993,Nov,,55.26,,,
1993-12-01,1993,Dec,,43.52,,,
1994-01-01,1994,Jan,,33.55,,,
1994-02-01,1994,Feb,,23.87,26.44,,
1994-03-01,1994,Mar,,27.62,29.68,,
1994-04-01,1994,Apr,,30.85,29.24,,
1994-05-01,1994,May,,31.24,32.58,,
1994-06-01,1994,Jun,,32.38,33.98,,
1994-07-01,1994,Jul,,29.74,32.42,,
1994-08-01,1994,Aug,,24.13,25.05,,
1994-09-01,1994,Sep,,17.39,24.32,,
1994-10-01,1994,Oct,,16.95,15.89,,
1994-11-01,1994,Nov,,17.22,16.16,,
1994-12-01,1994,Dec,,17.49,18.22,,
1995-01-01,1995,Jan,,16.74,18.52,,
1995-02-01,1995,Feb,,17.63,18.46,,
1995-03-01,1995,Mar,,16.84,17.33,,
1995-04-01,1995,Apr,,15.16,15.82,,
1995-05-01,1995,May,,15.09,15.84,,
1995-06-01,1995,Jun,,16.39,17.06,,
1995-07-01,1995,Jul,,18.48,18.61,,
1995-08-01,1995,Aug,,19.65,15.04,,
1995-09-01,1995,Sep,,21.16,15.19,,
1995-10-01,1995,Oct,,24.07,16.61,,
1995-11-01,1995,Nov,,24.87,21.03,,
1995-12-01,1995,Dec,,21.67,18.95,,
1996-01-01,1996,Jan,,21.25,19.26,,
1996-02-01,1996,Feb,,25.96,22.2,,
1996-03-01,1996,Mar,,26.68,22.21,,
1996-04-01,1996,Apr,,24.16,18.57,,
1996-05-01,1996,May,,21.96,20.27,,
1996-06-01,1996,Jun,,21.85,20.77,,
1996-07-01,1996,Jul,,21.76,20.3,,
1996-08-01,1996,Aug,,21.63,,,
1996-09-01,1996,Sep,,23.1,,,
1996-10-01,1996,Oct,,24.08,,,
