date,Year,Month,United States dollar,Euro,Sterling pound
1/1/1993,1993,1,36.23,,55.62
2/1/1993,1993,2,36.56,,52.68
3/1/1993,1993,3,43.12,,62.92
4/1/1993,1993,4,51.88,,80.34
5/1/1993,1993,5,62.16,,96.38
6/1/1993,1993,6,64.15,,96.97
7/1/1993,1993,7,65.33,,97.94
8/1/1993,1993,8,65.42,,97.74
9/1/1993,1993,9,65.8,,100.32
10/1/1993,1993,10,67.97,,102.12
11/1/1993,1993,11,68.98,,102.16
12/1/1993,1993,12,68.41,,101.94
1/1/1994,1994,1,67.93,,101.33
2/1/1994,1994,2,67.41,,99.75
3/1/1994,1994,3,66.05,,98.58
4/1/1994,1994,4,62.78,,93.07
5/1/1994,1994,5,58.05,,87.31
6/1/1994,1994,6,56.17,,85.67
7/1/1994,1994,7,55.97,,86.5
8/1/1994,1994,8,55.53,,85.7
9/1/1994,1994,9,51.66,,80.6
10/1/1994,1994,10,42.38,,67.99
11/1/1994,1994,11,43.5,,68.96
12/1/1994,1994,12,45.18,,70.49
1/1/1995,1995,1,44.48,,70.03
2/1/1995,1995,2,44.47,,69.94
3/1/1995,1995,3,44.14,,70.62
4/1/1995,1995,4,43.99,,70.79
5/1/1995,1995,5,51.89,,82.21
6/1/1995,1995,6,53.62,,85.55
7/1/1995,1995,7,56.59,,90.25
8/1/1995,1995,8,55.7,,87.43
9/1/1995,1995,9,55.43,,86.35
10/1/1995,1995,10,55.52,,87.67
11/1/1995,1995,11,55.54,,86.9
12/1/1995,1995,12,55.8,,85.97
1/1/1996,1996,1,56.71,,86.79
2/1/1996,1996,2,58.29,,89.57
3/1/1996,1996,3,58.41,,89.25
4/1/1996,1996,4,58.37,,88.49
5/1/1996,1996,5,58.24,,88.18
6/1/1996,1996,6,57.99,,89.42
7/1/1996,1996,7,57.31,,89.08
8/1/1996,1996,8,56.99,,88.36
9/1/1996,1996,9,56.43,,88.02
10/1/1996,1996,10,55.86,,88.55
11/1/1996,1996,11,55.62,,92.44
12/1/1996,1996,12,55.15,,91.82
1/1/1997,1997,1,54.74,,91.09
2/1/1997,1997,2,54.93,,89.31
3/1/1997,1997,3,54.89,,88.23
4/1/1997,1997,4,54.38,,88.68
5/1/1997,1997,5,53.75,,87.79
6/1/1997,1997,6,54.24,,89.22
7/1/1997,1997,7,57.36,,95.94
8/1/1997,1997,8,67.12,,107.72
9/1/1997,1997,9,63.77,,102.11
10/1/1997,1997,10,62.64,,102.22
11/1/1997,1997,11,63.93,,107.88
12/1/1997,1997,12,63.05,,104.76
1/1/1998,1998,1,61.16,,100.08
2/1/1998,1998,2,60.52,,99.25
3/1/1998,1998,3,60.13,,99.86
4/1/1998,1998,4,59.61,,99.74
5/1/1998,1998,5,62.6,,102.53
6/1/1998,1998,6,60.52,,99.8
7/1/1998,1998,7,59.34,,97.65
8/1/1998,1998,8,59.37,,97.02
9/1/1998,1998,9,60.01,,100.85
10/1/1998,1998,10,59.87,,101.43
11/1/1998,1998,11,59.63,,99.13
12/1/1998,1998,12,61.82,,103.19
1/1/1999,1999,1,61.8,71.75,101.99
2/1/1999,1999,2,62.5,70.07,101.83
3/1/1999,1999,3,64.01,69.72,103.8
4/1/1999,1999,4,65.65,70.28,105.83
5/1/1999,1999,5,68.82,73.18,111.15
6/1/1999,1999,6,73.61,76.41,117.52
7/1/1999,1999,7,73.1,75.68,115.08
8/1/1999,1999,8,74.41,78.95,119.55
9/1/1999,1999,9,75.68,79.48,122.8
10/1/1999,1999,10,75.57,80.98,125.26
11/1/1999,1999,11,74.79,77.44,121.43
12/1/1999,1999,12,73.94,74.86,119.31
1/1/2000,2000,1,70.68,71.83,116.02
2/1/2000,2000,2,73.22,72.03,117.42
3/1/2000,2000,3,74.43,71.83,117.58
4/1/2000,2000,4,74.36,70.54,117.82
5/1/2000,2000,5,75.97,68.92,114.7
6/1/2000,2000,6,77.55,73.67,117.04
7/1/2000,2000,7,76.41,71.91,115.36
8/1/2000,2000,8,76.45,69.26,113.91
9/1/2000,2000,9,78.2,68.09,112
10/1/2000,2000,10,79.26,67.79,115.17
11/1/2000,2000,11,78.86,67.45,112.52
12/1/2000,2000,12,78.73,70.45,114.92
1/1/2001,2001,1,78.61,73.81,116.25
2/1/2001,2001,2,78.25,72.16,113.79
3/1/2001,2001,3,77.75,70.81,112.43
4/1/2001,2001,4,77.5,69.19,111.2
5/1/2001,2001,5,78.54,68.83,112.05
6/1/2001,2001,6,78.62,67.15,110.29
7/1/2001,2001,7,79.02,67.83,111.64
8/1/2001,2001,8,78.91,71.04,113.37
9/1/2001,2001,9,78.95,71.9,115.47
10/1/2001,2001,10,78.97,71.58,114.69
11/1/2001,2001,11,78.96,70.14,113.47
12/1/2001,2001,12,78.69,70.24,113.24
1/1/2002,2002,1,78.6,69.54,112.77
2/1/2002,2002,2,78.25,68.08,111.36
3/1/2002,2002,3,78.06,68.44,111.06
4/1/2002,2002,4,78.27,69.34,112.91
5/1/2002,2002,5,78.32,71.82,114.37
6/1/2002,2002,6,78.66,75.1,116.6
7/1/2002,2002,7,78.8,78.27,122.58
8/1/2002,2002,8,78.57,76.85,120.84
9/1/2002,2002,9,78.81,77.27,122.55
10/1/2002,2002,10,79.32,77.85,123.57
11/1/2002,2002,11,79.57,79.68,125.08
12/1/2002,2002,12,79.53,80.99,126.08
1/1/2003,2003,1,77.72,82.6,125.66
2/1/2003,2003,2,76.84,82.78,123.84
3/1/2003,2003,3,76.58,82.67,121.17
4/1/2003,2003,4,75.66,82.18,119.18
5/1/2003,2003,5,71.61,82.82,116.19
6/1/2003,2003,6,73.72,86.08,122.53
7/1/2003,2003,7,74.75,85.04,121.47
8/1/2003,2003,8,75.96,84.7,121.12
9/1/2003,2003,9,77.9,87.48,125.46
10/1/2003,2003,10,77.77,91.02,130.41
11/1/2003,2003,11,76.74,89.78,129.6
12/1/2003,2003,12,76.02,93.28,132.93
1/1/2004,2004,1,76.3,96.22,138.95
2/1/2004,2004,2,76.39,96.56,142.6
3/1/2004,2004,3,77.26,94.85,141.32
4/1/2004,2004,4,77.91,93.41,140.53
5/1/2004,2004,5,79.24,95.13,141.47
6/1/2004,2004,6,79.27,96.19,144.84
7/1/2004,2004,7,79.99,98.19,147.42
8/1/2004,2004,8,80.83,98.5,147.16
9/1/2004,2004,9,80.72,98.61,144.75
10/1/2004,2004,10,81.2,101.43,146.77
11/1/2004,2004,11,81.2,105.36,150.85
12/1/2004,2004,12,79.77,106.88,153.94
1/1/2005,2005,1,77.93,102.33,146.51
2/1/2005,2005,2,76.94,100.14,145.14
3/1/2005,2005,3,74.8,98.8,142.71
4/1/2005,2005,4,76.15,98.55,144.3
5/1/2005,2005,5,76.4,96.97,141.71
6/1/2005,2005,6,76.68,93.25,139.52
7/1/2005,2005,7,76.23,91.84,133.6
8/1/2005,2005,8,75.81,93.17,135.87
9/1/2005,2005,9,74.1,90.86,134.1
10/1/2005,2005,10,73.71,88.56,129.85
11/1/2005,2005,11,74.74,88.15,129.76
12/1/2005,2005,12,73.11,86.69,127.62
1/1/2006,2006,1,72.21,87.53,127.51
2/1/2006,2006,2,71.8,85.84,125.61
3/1/2006,2006,3,72.28,86.9,125.96
4/1/2006,2006,4,71.3,87.45,125.84
5/1/2006,2006,5,71.76,91.64,134.13
6/1/2006,2006,6,73.41,92.96,135.37
7/1/2006,2006,7,73.66,93.5,135.72
8/1/2006,2006,8,72.87,93.34,137.85
9/1/2006,2006,9,72.87,92.86,137.59
10/1/2006,2006,10,72.29,91.26,135.58
11/1/2006,2006,11,71.13,91.58,135.89
12/1/2006,2006,12,69.63,92.03,136.79
1/1/2007,2007,1,69.89,90.87,136.91
2/1/2007,2007,2,69.62,91.04,136.4
3/1/2007,2007,3,69.29,91.77,134.91
4/1/2007,2007,4,68.58,92.68,136.4
5/1/2007,2007,5,67.19,90.82,133.31
6/1/2007,2007,6,66.58,89.33,132.25
7/1/2007,2007,7,67.07,91.99,136.41
8/1/2007,2007,8,66.95,91.15,134.57
9/1/2007,2007,9,67.02,93.06,135.19
10/1/2007,2007,10,66.85,95.09,136.52
11/1/2007,2007,11,65.49,96.13,135.79
12/1/2007,2007,12,63.3,86.09,119.89
1/1/2008,2008,1,68.08,100.16,134.01
2/1/2008,2008,2,70.62,103.96,138.46
3/1/2008,2008,3,64.92,100.79,130.08
4/1/2008,2008,4,62.26,98.08,123.37
5/1/2008,2008,5,61.9,96.32,121.62
6/1/2008,2008,6,63.78,99.21,125.27
7/1/2008,2008,7,66.7,105.41,132.62
8/1/2008,2008,8,67.68,101.24,127.97
9/1/2008,2008,9,71.41,102.96,128.58
10/1/2008,2008,10,76.66,101.67,129.38
11/1/2008,2008,11,78.18,99.33,119.59
12/1/2008,2008,12,78.04,105.56,116.53
1/1/2009,2009,1,78.95,104.85,114.28
2/1/2009,2009,2,79.53,101.73,114.54
3/1/2009,2009,3,80.26,104.98,113.98
4/1/2009,2009,4,79.63,105.08,116.98
5/1/2009,2009,5,77.86,106.23,120.03
6/1/2009,2009,6,77.85,109.03,127.22
7/1/2009,2009,7,76.75,108.02,125.58
8/1/2009,2009,8,76.37,108.84,126.34
9/1/2009,2009,9,75.61,110.01,123.57
10/1/2009,2009,10,75.24,111.25,121.65
11/1/2009,2009,11,74.74,111.68,124.14
12/1/2009,2009,12,75.43,110.27,122.54
1/1/2010,2010,1,75.79,108.27,122.53
2/1/2010,2010,2,76.73,105.09,120.1
3/1/2010,2010,3,76.95,104.46,115.78
4/1/2010,2010,4,77.25,103.71,118.51
5/1/2010,2010,5,78.54,98.79,115.2
6/1/2010,2010,6,81.02,98.99,119.63
7/1/2010,2010,7,81.43,103.9,124.34
8/1/2010,2010,8,80.44,103.79,125.94
9/1/2010,2010,9,80.91,105.61,125.94
10/1/2010,2010,10,80.71,112.2,127.98
11/1/2010,2010,11,80.46,110.07,128.52
12/1/2010,2010,12,80.57,106.54,125.65
1/1/2011,2011,1,81.03,108.16,127.7
2/1/2011,2011,2,81.47,111.29,131.45
3/1/2011,2011,3,84.21,117.88,136.1
4/1/2011,2011,4,83.89,121.14,137.14
5/1/2011,2011,5,85.43,122.42,139.54
6/1/2011,2011,6,89.05,128.11,144.4
7/1/2011,2011,7,89.9,128.48,145
8/1/2011,2011,8,92.79,133.04,151.9
9/1/2011,2011,9,96.36,132.68,152.12
10/1/2011,2011,10,101.27,138.74,159.41
11/1/2011,2011,11,93.68,127.13,148.17
12/1/2011,2011,12,86.66,114.15,135.1
1/1/2012,2012,1,86.34,111.42,133.94
2/1/2012,2012,2,83.18,110.06,131.42
3/1/2012,2012,3,82.9,109.55,131.18
