License_Type,2020,2021,2022,2023,2024
PSV Licenses1,,,,,
Matatus (0-14 seaters)…………………………………..,36323,31737,12229,,
Buses (34 and above seaters)………..………..,7401,11919,11699,,
Mini-Buses (15-33 seaters)…………………..,5836,11699,11969,,
Total,49560,55355,35897,71980,61429
Driving Licenses,,,,,
Original…………………………...……………,,384004,602926,457095,
Renewal……………………………………….,,,,,
Foreign……………………………………….,,895,1542,2831,
Total,303278,384899,604468,459926,
Source: National Transport and Safety Authority,,,,,
* Provisional.,,,,,
.. Data not available,,,,,
1 Includes Tour Vans,,,,,
Note: PSV- Public Service Vehicle,,,,,
