Type,2020,2021,2022,2023,2024
Saloon Cars,7754.0,8170.0,6350.0,6378.0,5367.0
Station Wagons,57962.0,64350.0,55004.0,61711.0,64204.0
"Panel Vans, Pick-ups, etc",6065.0,5986.0,10901.0,12957.0,5879.0
Lorries/Trucks,6476.0,7071.0,10075.0,13635.0,5456.0
Buses and Coaches,900.0,893.0,2173.0,3122.0,1452.0
Mini-Buses/Matatu,1084.0,822.0,907.0,1579.0,1441.0
Trailers,2382.0,3187.0,3457.0,6368.0,2123.0
Wheeled Tractors,2545.0,2818.0,2553.0,2054.0,667.0
Other Vehicles,8960.0,14202.0,7945.0,11401.0,7057.0
Total Motor Vehicles,94128.0,107499.0,99365.0,119205.0,93646.0
Motor and Autocycles,246705.0,285203.0,131513.0,70691.0,68804.0
Three Wheelers,5896.0,6350.0,4001.0,5760.0,4064.0
Total Motorcycles,252601.0,291553.0,135514.0,76451.0,72868.0
Total Units Registered,346729.0,399052.0,234879.0,195656.0,166514.0
Source: National Transport and Safety Authority,,,,,
* Provisional,,,,,
