date,household_stress_index,digital_spend_index,jobs_interest_index,unga,maize flour,fuel price,rent,loan,internet bundles,safaricom bundles,smartphone price,laptop price,jobs in kenya,vacancies,BrighterMonday
2021-01-24,1.5544041450777193,43.925233644859816,50.000000000000014,3,3,3,18,53,0,51,14,61,78,36,1
2021-01-31,5.699481865284977,33.64485981308411,45.91836734693878,5,3,3,18,59,0,51,0,64,74,36,1
2021-02-07,6.735751295336787,37.38317757009346,47.95918367346938,5,2,3,18,62,0,67,0,52,77,35,1
2021-02-14,6.735751295336787,28.971962616822427,41.836734693877546,6,3,5,17,59,0,53,0,57,71,35,1
2021-02-21,5.699481865284977,39.25233644859813,50.000000000000014,6,0,3,18,61,0,80,0,41,77,38,0
2021-02-28,4.145077720207253,22.429906542056074,45.91836734693878,4,0,3,17,61,1,53,0,49,74,36,1
2021-03-07,2.590673575129529,11.214953271028037,48.9795918367347,4,2,3,15,58,0,49,0,42,72,41,1
2021-03-14,6.217616580310882,26.168224299065418,26.530612244897966,3,3,13,16,54,0,48,0,59,59,31,2
2021-03-21,1.5544041450777193,33.64485981308411,31.6326530612245,5,2,3,16,54,0,72,0,43,66,30,1
2021-03-28,2.590673575129529,66.35514018691589,23.469387755102048,3,3,3,17,56,0,85,12,53,59,28,2
2021-04-04,6.735751295336787,56.074766355140184,22.448979591836732,3,0,3,17,67,1,66,12,60,60,27,1
2021-04-11,4.663212435233158,29.906542056074763,29.59183673469388,6,2,10,16,52,0,59,0,52,59,35,1
2021-04-18,0.5181347150259048,58.87850467289719,29.59183673469388,6,2,3,16,51,0,65,24,53,63,31,1
2021-04-25,1.0362694300518145,47.66355140186916,24.48979591836735,4,3,4,16,52,0,72,0,58,59,30,1
2021-05-02,0.0,41.1214953271028,18.367346938775512,5,2,2,15,53,0,64,13,46,55,28,1
2021-05-09,2.590673575129529,27.102803738317753,40.81632653061226,3,2,5,16,56,0,52,0,56,66,40,0
2021-05-16,4.663212435233158,48.598130841121495,44.897959183673464,5,3,4,16,58,0,54,16,61,67,42,1
2021-05-23,3.626943005181348,47.66355140186916,37.75510204081633,5,2,3,17,57,1,67,11,51,67,35,1
2021-05-30,8.808290155440416,67.28971962616822,44.897959183673464,6,3,3,17,65,0,74,14,63,73,36,1
2021-06-06,7.772020725388597,50.467289719626166,52.04081632653062,4,0,5,17,66,1,77,0,55,78,38,1
2021-06-13,9.326424870466319,40.18691588785047,39.79591836734694,5,3,9,16,62,0,61,15,46,68,36,1
2021-06-20,8.29015544041451,44.85981308411215,40.81632653061226,5,2,4,17,65,0,59,19,49,69,35,2
2021-06-27,9.844559585492226,40.18691588785047,51.02040816326531,6,3,3,17,67,0,54,13,55,69,46,1
2021-07-04,13.989637305699482,45.794392523364486,44.897959183673464,5,3,4,17,75,0,66,12,50,70,39,1
2021-07-11,8.29015544041451,43.925233644859816,44.897959183673464,6,2,6,16,63,0,68,0,58,66,43,1
2021-07-18,6.217616580310882,36.44859813084112,41.836734693877546,3,0,4,18,64,0,60,0,58,67,39,1
2021-07-25,10.880829015544045,59.813084112149525,48.9795918367347,4,3,4,18,69,0,62,15,66,69,45,0
2021-08-01,9.326424870466319,52.336448598130836,46.938775510204096,6,2,5,16,66,0,65,0,70,66,46,0
2021-08-08,6.217616580310882,58.87850467289719,42.85714285714286,4,2,4,18,61,0,69,12,61,65,42,1
2021-08-15,7.772020725388597,37.38317757009346,39.79591836734694,5,5,5,17,60,0,58,11,50,66,37,2
2021-08-22,9.326424870466319,45.794392523364486,31.6326530612245,7,9,3,16,60,0,62,12,54,62,35,0
2021-08-29,12.435233160621758,40.18691588785047,36.734693877551024,6,4,3,18,70,0,54,13,55,68,34,0
2021-09-05,10.880829015544045,31.775700934579437,39.79591836734694,6,2,3,18,69,1,52,0,60,69,35,1
2021-09-12,17.616580310880824,28.971962616822427,38.77551020408163,7,0,19,16,69,0,49,0,61,67,37,0
2021-09-19,13.471502590673579,39.25233644859813,37.75510204081633,5,4,8,17,69,0,55,12,54,68,34,1
2021-09-26,8.29015544041451,9.345794392523365,30.612244897959183,6,0,6,14,67,0,44,0,45,61,34,1
2021-10-03,8.808290155440416,30.8411214953271,31.6326530612245,4,3,5,15,67,1,56,0,55,62,34,1
2021-10-10,13.989637305699482,28.037383177570092,48.9795918367347,4,4,10,16,70,1,57,0,51,67,47,0
2021-10-17,9.844559585492226,37.38317757009346,35.71428571428571,4,0,4,15,73,0,69,0,50,63,38,0
2021-10-24,10.880829015544045,31.775700934579437,51.02040816326531,5,3,4,16,70,0,55,12,46,67,48,1
2021-10-31,9.844559585492226,20.5607476635514,38.77551020408163,6,8,3,15,64,0,48,0,53,61,43,0
2021-11-07,12.435233160621758,11.214953271028037,52.04081632653062,6,3,3,16,73,0,38,14,39,71,46,0
2021-11-14,11.917098445595855,4.672897196261682,47.95918367346938,6,4,5,16,69,0,33,0,51,69,43,1
2021-11-21,7.253886010362691,13.084112149532709,51.02040816326531,6,2,4,15,64,0,29,14,50,63,53,0
2021-11-28,7.253886010362691,5.607476635514018,41.836734693877546,7,3,4,16,61,0,41,0,44,56,51,0
2021-12-05,5.699481865284977,0.0,31.6326530612245,3,2,2,16,65,0,38,0,41,54,43,0
2021-12-12,7.772020725388597,24.299065420560748,22.448979591836732,4,3,3,15,67,0,49,12,44,55,33,0
2021-12-19,7.253886010362691,21.49532710280374,20.40816326530613,5,3,3,16,64,0,48,0,54,53,33,0
2021-12-26,0.0,1.8691588785046727,21.42857142857143,3,0,3,16,55,0,46,0,35,56,31,0
2022-01-02,16.580310880829018,41.1214953271028,100.0,5,3,5,19,77,0,57,0,66,100,62,2
2022-01-09,18.652849740932645,19.626168224299064,84.6938775510204,9,3,4,21,76,0,35,13,52,88,60,1
2022-01-16,17.616580310880824,34.57943925233645,80.6122448979592,8,4,4,21,74,0,47,0,69,89,55,1
2022-01-23,15.025906735751294,47.66355140186916,77.55102040816327,5,4,5,20,72,0,54,0,76,89,53,0
2022-01-30,15.025906735751294,55.140186915887845,76.53061224489797,6,4,5,20,71,0,51,17,70,89,50,2
2022-02-06,15.025906735751294,37.38317757009346,68.36734693877553,7,4,4,18,73,0,45,11,63,82,50,1
2022-02-13,17.098445595854923,39.25233644859813,73.46938775510205,6,5,6,21,72,0,48,13,60,85,52,1
2022-02-20,13.471502590673579,44.85981308411215,72.44897959183673,6,7,4,19,67,0,56,9,62,84,52,1
2022-02-27,11.917098445595855,49.532710280373834,71.42857142857144,7,4,4,19,66,0,53,11,68,81,54,1
2022-03-06,6.217616580310882,36.44859813084112,66.3265306122449,4,4,5,17,59,0,53,9,56,78,52,1
2022-03-13,12.435233160621758,41.1214953271028,70.40816326530613,4,5,13,17,62,0,52,11,60,81,53,1
2022-03-20,17.098445595854923,52.336448598130836,78.57142857142857,6,5,6,21,72,1,51,14,69,86,56,1
2022-03-27,16.580310880829018,78.50467289719626,69.38775510204081,6,5,9,20,69,1,74,14,74,81,52,1
2022-04-03,15.544041450777197,40.18691588785047,80.6122448979592,5,5,15,18,64,0,60,9,53,84,60,1
2022-04-10,19.17098445595855,51.4018691588785,63.26530612244897,8,2,28,16,60,0,79,0,55,77,50,1
2022-04-17,11.917098445595855,71.02803738317756,86.73469387755104,8,4,8,17,63,0,77,13,65,89,61,1
2022-04-24,10.880829015544045,59.813084112149525,98.9795918367347,7,5,7,16,63,0,69,12,62,100,62,1
2022-05-01,16.06217616580311,55.140186915887845,94.89795918367348,6,4,7,19,72,0,66,10,62,99,59,1
2022-05-08,13.471502590673579,44.85981308411215,86.73469387755104,7,4,9,18,65,0,43,14,70,95,55,1
2022-05-15,14.507772020725387,37.38317757009346,81.63265306122449,6,5,10,17,67,0,58,0,61,92,53,1
2022-05-22,11.917098445595855,51.4018691588785,84.6938775510204,6,5,6,18,65,0,59,0,75,97,51,1
2022-05-29,22.797927461139896,81.30841121495327,81.63265306122449,7,4,6,19,85,0,62,14,90,94,51,1
2022-06-05,21.761658031088082,70.09345794392523,85.71428571428572,7,5,7,20,80,0,81,0,73,96,53,1
2022-06-12,35.75129533678756,61.6822429906542,83.67346938775512,10,12,24,18,82,0,56,15,74,94,53,1
2022-06-19,29.533678756476682,53.271028037383175,92.85714285714288,16,15,9,17,77,1,59,11,65,99,57,1
2022-06-26,41.45077720207253,53.271028037383175,90.81632653061224,24,27,8,20,78,0,59,11,66,93,61,1
2022-07-03,22.279792746113987,57.943925233644855,84.6938775510204,12,7,7,18,76,0,71,0,70,92,57,0
2022-07-10,29.01554404145078,66.35514018691589,64.28571428571429,12,7,18,18,78,0,55,14,81,82,47,0
2022-07-17,100.0,65.42056074766354,76.53061224489797,100,67,7,17,79,0,60,13,76,88,52,1
2022-07-24,36.78756476683938,66.35514018691589,69.38775510204081,13,13,6,19,97,1,57,16,76,86,47,1
2022-07-31,23.316062176165797,60.747663551401864,50.000000000000014,14,13,4,16,75,0,68,0,76,72,42,1
2022-08-07,5.181347150259063,25.233644859813083,7.14285714285714,8,8,3,14,54,0,50,9,47,47,26,0
2022-08-14,18.652849740932645,37.38317757009346,52.04081632653062,11,7,6,17,72,0,48,10,61,77,40,0
2022-08-21,22.279792746113987,45.794392523364486,81.63265306122449,9,5,4,18,84,0,56,0,72,90,55,1
2022-08-28,17.616580310880824,60.747663551401864,63.26530612244897,7,7,4,17,76,0,56,14,74,76,51,1
2022-09-04,14.507772020725387,38.31775700934579,75.51020408163265,8,5,5,16,71,0,46,0,74,85,54,1
2022-09-11,41.45077720207253,19.626168224299064,82.6530612244898,15,6,43,18,75,0,44,0,56,90,56,1
2022-09-18,43.00518134715026,46.728971962616825,88.77551020408164,40,6,12,18,84,0,54,12,63,94,58,1
2022-09-25,30.051813471502587,55.140186915887845,77.55102040816327,13,6,7,19,90,0,61,0,77,86,55,1
2022-10-02,20.725388601036265,50.467289719626166,75.51020408163265,10,5,6,17,79,0,54,0,79,85,54,1
2022-10-09,25.388601036269424,30.8411214953271,71.42857142857144,6,4,23,17,76,0,39,10,63,82,53,1
2022-10-16,18.652849740932645,36.44859813084112,55.102040816326536,9,5,6,16,77,0,50,9,59,76,43,1
2022-10-23,22.279792746113987,18.69158878504673,69.38775510204081,12,6,5,17,80,0,42,0,57,81,52,1
2022-10-30,20.725388601036265,30.8411214953271,56.122448979591844,10,7,5,18,77,0,36,12,64,77,43,1
2022-11-06,17.098445595854923,18.69158878504673,60.204081632653065,8,6,7,16,73,0,39,9,51,76,48,1
2022-11-13,22.797927461139896,32.71028037383177,67.34693877551021,7,6,12,18,78,0,43,9,62,81,50,1
2022-11-20,13.989637305699482,17.75700934579439,37.75510204081633,7,7,4,15,71,0,30,8,60,66,36,1
2022-11-27,24.352331606217618,14.953271028037381,36.734693877551024,8,4,4,16,92,0,44,0,51,61,40,1
2022-12-04,16.06217616580311,36.44859813084112,51.02040816326531,8,5,4,15,76,1,54,16,47,69,46,1
2022-12-11,23.316062176165797,56.074766355140184,59.18367346938776,8,5,9,16,84,0,62,12,65,70,53,1
2022-12-18,22.797927461139896,64.48598130841121,41.836734693877546,6,3,6,17,89,1,78,0,69,64,42,1
2022-12-25,13.989637305699482,52.336448598130836,38.77551020408163,5,3,5,17,74,0,59,17,59,65,39,0
2023-01-01,20.20725388601036,49.532710280373834,80.6122448979592,7,5,6,19,79,0,63,12,57,88,55,2
2023-01-08,19.689119170984455,39.25233644859813,83.67346938775512,7,4,8,18,78,0,47,10,64,90,57,1
2023-01-15,17.098445595854923,55.140186915887845,73.46938775510205,8,6,7,17,72,0,59,16,63,85,52,1
2023-01-22,14.507772020725387,32.71028037383177,76.53061224489797,6,4,6,19,70,0,50,0,64,88,52,1
2023-01-29,17.616580310880824,45.794392523364486,83.67346938775512,11,5,6,18,71,0,43,9,76,89,58,1
2023-02-05,14.507772020725387,29.906542056074763,80.6122448979592,8,4,5,17,71,0,43,0,68,89,55,1
2023-02-12,11.398963730569948,27.102803738317753,69.38775510204081,6,5,9,16,63,0,47,0,61,83,51,0
2023-02-19,19.17098445595855,20.5607476635514,70.40816326530613,15,7,5,17,70,0,42,0,59,82,52,1
2023-02-26,11.398963730569948,66.35514018691589,58.163265306122454,10,5,4,16,64,0,67,14,69,75,48,0
2023-03-05,13.471502590673579,37.38317757009346,62.24489795918369,8,5,4,17,69,0,47,0,72,75,51,1
