year,indicator,value
1960,gdp_growth_pct,
1961,gdp_growth_pct,-7.77463490371655
1962,gdp_growth_pct,9.45735874072126
1963,gdp_growth_pct,8.77834021621184
1964,gdp_growth_pct,4.96446728844091
1965,gdp_growth_pct,2.00909417103099
1966,gdp_growth_pct,14.7285664015687
1967,gdp_growth_pct,3.36123203258556
1968,gdp_growth_pct,7.9826899693479
1969,gdp_growth_pct,7.9592244594956
1970,gdp_growth_pct,-4.65544691647621
1971,gdp_growth_pct,22.1738919255764
1972,gdp_growth_pct,17.082429349983
1973,gdp_growth_pct,5.89658021016672
1974,gdp_growth_pct,4.06561734893735
1975,gdp_growth_pct,0.882203175319148
1976,gdp_growth_pct,2.15396450322561
1977,gdp_growth_pct,9.45379784408087
1978,gdp_growth_pct,6.91249354626197
1979,gdp_growth_pct,7.61522604591983
1980,gdp_growth_pct,5.5919762059677
1981,gdp_growth_pct,3.77354419402822
1982,gdp_growth_pct,1.50647825757706
1983,gdp_growth_pct,1.3090502411486
1984,gdp_growth_pct,1.75521697703473
1985,gdp_growth_pct,4.30056181879613
1986,gdp_growth_pct,7.17755539065963
1987,gdp_growth_pct,5.93710744420895
1988,gdp_growth_pct,6.20318382314591
1989,gdp_growth_pct,4.69034876792047
1990,gdp_growth_pct,4.19205097155167
1991,gdp_growth_pct,1.43834679171559
1992,gdp_growth_pct,-0.799493958641349
1993,gdp_growth_pct,0.353197256227247
1994,gdp_growth_pct,2.632784517837
1995,gdp_growth_pct,4.40621652482287
1996,gdp_growth_pct,4.14683926876013
1997,gdp_growth_pct,0.474901921293579
1998,gdp_growth_pct,3.29021372249065
1999,gdp_growth_pct,2.30538859522412
2000,gdp_growth_pct,0.599695390807426
2001,gdp_growth_pct,3.77990649795343
2002,gdp_growth_pct,0.546859530175595
2003,gdp_growth_pct,2.93247554570904
2004,gdp_growth_pct,5.10429977629738
2005,gdp_growth_pct,5.90666607980057
2006,gdp_growth_pct,6.47249430015484
2007,gdp_growth_pct,6.85072976998784
2008,gdp_growth_pct,0.232282744812977
2009,gdp_growth_pct,3.30693981631089
2010,gdp_growth_pct,8.05847360290906
2011,gdp_growth_pct,5.1211061197056
2012,gdp_growth_pct,4.56867961444982
2013,gdp_growth_pct,3.7978483925754
2014,gdp_growth_pct,5.02011100232484
2015,gdp_growth_pct,4.96772112759767
2016,gdp_growth_pct,4.21351706814744
2017,gdp_growth_pct,3.83795817364721
2018,gdp_growth_pct,5.64794640709219
2019,gdp_growth_pct,5.11415885767801
2020,gdp_growth_pct,-0.272766327438816
2021,gdp_growth_pct,7.59048947333467
2022,gdp_growth_pct,4.85998104287999
2023,gdp_growth_pct,5.71999241214208
2024,gdp_growth_pct,4.72473994710138
1960,private_consumption_growth_pct,
1961,private_consumption_growth_pct,1.24640255723965
1962,private_consumption_growth_pct,7.99120033637755
1963,private_consumption_growth_pct,0.123753776752238
1964,private_consumption_growth_pct,6.91067763094217
1965,private_consumption_growth_pct,7.92760427454111
1966,private_consumption_growth_pct,7.91184536030222
1967,private_consumption_growth_pct,5.3249982069475
1968,private_consumption_growth_pct,-9.57936901610825
1969,private_consumption_growth_pct,3.01787270651658
1970,private_consumption_growth_pct,-9.52414179997396
1971,private_consumption_growth_pct,44.9427098681007
1972,private_consumption_growth_pct,13.1392007953135
1973,private_consumption_growth_pct,-6.56797847805748
1974,private_consumption_growth_pct,14.9553880604952
1975,private_consumption_growth_pct,-1.95901344096046
