year,country,indicator,value
1960,Ethiopia,gdp_growth_pct,
1961,Ethiopia,gdp_growth_pct,
1962,Ethiopia,gdp_growth_pct,4.32609133566669
1963,Ethiopia,gdp_growth_pct,4.51863392606097
1964,Ethiopia,gdp_growth_pct,4.090485611454
1965,Ethiopia,gdp_growth_pct,5.77193201591967
1966,Ethiopia,gdp_growth_pct,7.25659803697334
1967,Ethiopia,gdp_growth_pct,4.06158788001341
1968,Ethiopia,gdp_growth_pct,4.14218784379452
1969,Ethiopia,gdp_growth_pct,1.38865740774845
1970,Ethiopia,gdp_growth_pct,3.48272874063242
1971,Ethiopia,gdp_growth_pct,6.52647616372386
1972,Ethiopia,gdp_growth_pct,4.22715958999208
1973,Ethiopia,gdp_growth_pct,5.10986950748782
1974,Ethiopia,gdp_growth_pct,3.27365832432511
1975,Ethiopia,gdp_growth_pct,1.24613171483642
1976,Ethiopia,gdp_growth_pct,0.148810316081267
1977,Ethiopia,gdp_growth_pct,2.72568162583839
1978,Ethiopia,gdp_growth_pct,2.74000633157128
1979,Ethiopia,gdp_growth_pct,-1.10076369425465
1980,Ethiopia,gdp_growth_pct,6.42416616401589
1981,Ethiopia,gdp_growth_pct,4.38154812543456
1982,Ethiopia,gdp_growth_pct,0.916013856738402
1983,Ethiopia,gdp_growth_pct,8.23500571913669
1984,Ethiopia,gdp_growth_pct,-2.84802145221462
1985,Ethiopia,gdp_growth_pct,-11.1443529779264
1986,Ethiopia,gdp_growth_pct,9.66161236122211
1987,Ethiopia,gdp_growth_pct,13.8593303949744
1988,Ethiopia,gdp_growth_pct,0.503674879297719
1989,Ethiopia,gdp_growth_pct,-0.361044179752284
1990,Ethiopia,gdp_growth_pct,2.72645178272684
1991,Ethiopia,gdp_growth_pct,-7.13747971659305
1992,Ethiopia,gdp_growth_pct,-8.6724801143672
1993,Ethiopia,gdp_growth_pct,13.1428339363255
1994,Ethiopia,gdp_growth_pct,3.18996458331273
1995,Ethiopia,gdp_growth_pct,6.12751141587474
1996,Ethiopia,gdp_growth_pct,12.4261737814951
1997,Ethiopia,gdp_growth_pct,3.1339068517801
1998,Ethiopia,gdp_growth_pct,-3.4581391346848
1999,Ethiopia,gdp_growth_pct,5.16214582255112
2000,Ethiopia,gdp_growth_pct,6.07321748125295
2001,Ethiopia,gdp_growth_pct,8.30130632267965
2002,Ethiopia,gdp_growth_pct,1.51472570667433
2003,Ethiopia,gdp_growth_pct,-2.16135972256865
2004,Ethiopia,gdp_growth_pct,13.5726031401471
2005,Ethiopia,gdp_growth_pct,11.8187659491625
2006,Ethiopia,gdp_growth_pct,10.8347270679373
2007,Ethiopia,gdp_growth_pct,11.4561670019891
2008,Ethiopia,gdp_growth_pct,10.7885216870332
2009,Ethiopia,gdp_growth_pct,8.8025531990487
2010,Ethiopia,gdp_growth_pct,12.5505383347633
2011,Ethiopia,gdp_growth_pct,11.1782962297008
2012,Ethiopia,gdp_growth_pct,8.64781163513926
2013,Ethiopia,gdp_growth_pct,10.5822700502552
2014,Ethiopia,gdp_growth_pct,10.2574929627477
2015,Ethiopia,gdp_growth_pct,10.3924630141307
2016,Ethiopia,gdp_growth_pct,9.43348265981905
2017,Ethiopia,gdp_growth_pct,9.56418965754014
2018,Ethiopia,gdp_growth_pct,6.81614778557282
2019,Ethiopia,gdp_growth_pct,8.36408573314054
2020,Ethiopia,gdp_growth_pct,6.05953089054807
2021,Ethiopia,gdp_growth_pct,5.64153069257077
2022,Ethiopia,gdp_growth_pct,5.32175988403378
2023,Ethiopia,gdp_growth_pct,6.59424599357075
2024,Ethiopia,gdp_growth_pct,7.61277447511073
1960,Ethiopia,private_consumption_growth_pct,
1961,Ethiopia,private_consumption_growth_pct,
1962,Ethiopia,private_consumption_growth_pct,
1963,Ethiopia,private_consumption_growth_pct,
1964,Ethiopia,private_consumption_growth_pct,
1965,Ethiopia,private_consumption_growth_pct,
1966,Ethiopia,private_consumption_growth_pct,
1967,Ethiopia,private_consumption_growth_pct,
1968,Ethiopia,private_consumption_growth_pct,
1969,Ethiopia,private_consumption_growth_pct,
1970,Ethiopia,private_consumption_growth_pct,
1971,Ethiopia,private_consumption_growth_pct,
1972,Ethiopia,private_consumption_growth_pct,
1973,Ethiopia,private_consumption_growth_pct,
1974,Ethiopia,private_consumption_growth_pct,
1975,Ethiopia,private_consumption_growth_pct,
1976,Ethiopia,private_consumption_growth_pct,
1977,Ethiopia,private_consumption_growth_pct,
1978,Ethiopia,private_consumption_growth_pct,
1979,Ethiopia,private_consumption_growth_pct,
1980,Ethiopia,private_consumption_growth_pct,
1981,Ethiopia,private_consumption_growth_pct,
1982,Ethiopia,private_consumption_growth_pct,
1983,Ethiopia,private_consumption_growth_pct,
1984,Ethiopia,private_consumption_growth_pct,
1985,Ethiopia,private_consumption_growth_pct,
1986,Ethiopia,private_consumption_growth_pct,
1987,Ethiopia,private_consumption_growth_pct,
1988,Ethiopia,private_consumption_growth_pct,
1989,Ethiopia,private_consumption_growth_pct,
1990,Ethiopia,private_consumption_growth_pct,
1991,Ethiopia,private_consumption_growth_pct,
1992,Ethiopia,private_consumption_growth_pct,
1993,Ethiopia,private_consumption_growth_pct,
1994,Ethiopia,private_consumption_growth_pct,
1995,Ethiopia,private_consumption_growth_pct,
1996,Ethiopia,private_consumption_growth_pct,
1997,Ethiopia,private_consumption_growth_pct,
1998,Ethiopia,private_consumption_growth_pct,
1999,Ethiopia,private_consumption_growth_pct,
2000,Ethiopia,private_consumption_growth_pct,
2001,Ethiopia,private_consumption_growth_pct,
2002,Ethiopia,private_consumption_growth_pct,
2003,Ethiopia,private_consumption_growth_pct,
2004,Ethiopia,private_consumption_growth_pct,
2005,Ethiopia,private_consumption_growth_pct,
2006,Ethiopia,private_consumption_growth_pct,
2007,Ethiopia,private_consumption_growth_pct,
2008,Ethiopia,private_consumption_growth_pct,
2009,Ethiopia,private_consumption_growth_pct,
2010,Ethiopia,private_consumption_growth_pct,
2011,Ethiopia,private_consumption_growth_pct,
2012,Ethiopia,private_consumption_growth_pct,3.41704066349273
2013,Ethiopia,private_consumption_growth_pct,9.83873547128189
2014,Ethiopia,private_consumption_growth_pct,6.52600315624711
2015,Ethiopia,private_consumption_growth_pct,9.93724302357697
2016,Ethiopia,private_consumption_growth_pct,3.81671250264029
2017,Ethiopia,private_consumption_growth_pct,8.65041080723232
